city,_id
Lackenhof,1
Gyömrő,1
Pétrürdő,1
Pétfürdő,1
Pásztó,1
Pusztaszabolcs,1
Győrszemere,1
Pusztamonostor,1
Piliscsaba,1
Gönyű,1
H,1
Hajdú,1
Paksi,1
Hajdúszoboszló,1
Ortaháza,1
Halmajugra,1
Oetz,1
Nyúl,1
Hauptplatz,1
Haus,1
Hegyeshalom,1
Nova,1
Reith,1
Hermagor,1
Gurktaler,1
Répcelak,1
Ellmau,1
Szentkirályszabadja,1
Szentgotthárd,1
Kápolnásnyék,1
Szany,1
Szajol,1
Faulbach,1
Felcsút,1
Felsőlajos,1
Soroksár,1
Somogyszob,1
Slovakia,1
Foktő,1
Fonyód,1
Schruns,1
Schladming,1
Saalfelden,1
Garsten,1
SZÉKESFEHÉRVÁR,1
SZEKSZÁRD,1
Grossarl,1
Grundlsee,1
Eisenstadt,1
Nesselwängle,1
Nagykálló,1
Marchtrenk,1
Kazincbarcika,1
MSK,1
Kerekegyháza,1
Kerekharaszt,1
MIskolc,1
Lébény,1
Kirchberg,1
Lábatlan,1
Lukácsháza,1
Linz,1
Leutasch,1
Kiskőrös,1
Kistelek,1
Leogang,1
Klagenfurt,1
Langenlois,1
Lajosmizse,1
Kühtai,1
Kössen,1
Kál,1
Maria,1
Nagykáta,1
Mariazell,1
Jászladány,1
Hollókő,1
Hévíz,1
II,1
Nagyhegyes,1
INDUSTRIEPARK,1
IV,1
NYÍREGYHÁZA,1
München,1
Isaszeg,1
Mösern,1
Iszkaszentgyörgy,1
Mórahalom,1
Jakabszállás,1
Jerzens,1
JÁSZBERÉNY,1
Mittelberg,1
Mieming,1
Mezőörs,1
Mayrhofen,1
Mauerbach,1
Jászkisér,1
Martonvásár,1
Szentlőrinckáta,1
Szarvas,1
Egg,1
Balloo,1
Ballószög,1
Barcs,1
Városföld,1
Villach,1
Berwang,1
Vasad,1
Biharkeresztes,1
Boba,1
Várpalota,1
Vaja,1
VI,1
Bramberg,1
Unken,1
Túrkeve,1
Törökszentmiklós,1
Szigethalom,1
Tök,1
Tótvázsony,1
Bugyi,1
VIII,1
Vásárosnamény,1
Vértesszőlős,1
Waidring,1
Észak,1
Áporka,1
Ács,1
1101,1
3021,1
Adeje,1
Ajka,1
Zalaszentbalázs,1
XXII,1
XIII,1
Ampflwang,1
X,1
BIATORBÁGY,1
Westend,1
Wels,1
Baden,1
Bagod,1
Baj,1
Weissensee,1
Warth,1
Wallern,1
Burtenbach,1
Bábolna,1
Töltéstava,1
Bácsalmás,1
Csém,1
Tamási,1
Deszk,1
Tóalmás,1
Taksony,1
Tahitótfalu,1
Dornbirn,1
Csákvár,1
Tab,1
Dunaegyháza,1
Dunaföldvár,1
Dunakiliti,1
Dánia,1
SÓSKÚT,1
Szirmabesenyő,1
Szikszó,1
Dunaalmás,1
Csorna,1
Kékkút,1
Csanádpalota,1
Tiszapüspöki,1
Bőcs,1
Tiszakécske,1
Bócsa,1
Tiszafüred,1
Csopak,1
Csanytelek,1
Bükfürdő,1
Bóly,1
Telki,1
Telfs,1
Tuzsér,1
Békés,1
Tárnok,1
Sátoraljaújhely,2
Letenye,2
Rennweg,2
Sárszentmihály,2
Zirc,2
Lermoos,2
Sárbogárd,2
Zsámbék,2
Nyergesújfalu,2
Zamárdi,2
Zalahaláp,2
Sopronhorpács,2
Suben,2
Sóskút,2
Sölden,2
Tolna,2
Maglód,2
Makó,2
Sirok,2
Nagyigmánd,2
Walchsee,2
Tapolca,2
Tarján,2
Vasvár,2
Ráckeve,2
Visonta,2
Zala,2
Salzburg,2
Üröm,2
1097,2
1054,2
Kalocsa,2
Balatonkenese,2
Ausztria,2
Beremend,2
Csepel,2
Jász,2
Jánossomorja,2
Balatonfüred,2
Altaussee,2
Diósd,2
Erpfendorf,2
2046,2
Dombóvár,2
Berettyóújfalu,2
Dunaszentmiklós,2
Iváncsa,2
Hajdúböszörmény,2
Encs,2
IX,2
Ebensee,2
Kappl,2
Győrladamér,2
Ehrwald,2
Körmend,2
KÖRNYE,2
Kunsziget,2
Galtür,2
Helvécia,2
Fiss,2
Großarl,2
Finkenberg,2
Grünheide,2
Balatonföldvár,2
Hall,2
Brand,2
Ecser,2
Királyegyháza,2
Kirchschlag,2
Keszthely,2
Fieberbrunn,2
Kerepes,2
-,2
Balatonlelle,2
Fertőd,2
Bük,2
Bak,2
Almásfüzitő,2
Nádudvar,3
Bp,3
Vösendorf,3
Polgárdi,3
Strallegg,3
Pécel,3
Gyöngyöshalász,3
Balassagyarmat,3
Flachau,3
Ercsi,3
Algyő,3
Vámosgyörk,3
Herceghalom,3
Umhausen,3
Budakalász,3
Ócsa,3
Komló,3
Borsod,3
Írország,3
Kisvárda,3
Vas,3
Kisbér,3
Litér,3
Lőrinci,3
Bátonyterenye,3
Tokod,3
Ehrenhausen,3
Celldömölk,3
GYŐR,3
Mezőkövesd,3
Nagyréde,3
Aigen,3
Berlin,3
Monor,3
Hirschegg,3
Szászberek,3
Tesco,3
Sajóbábony,3
Szerencs,4
Solymár,4
Dunaújváros,4
Bács,4
Dunavarsány,4
Erdőtelek,4
TÖRÖKBÁLINT,4
Velence,4
Szada,4
Szentes,4
Bürserberg,4
Stans,4
III,4
Kiskunhalas,4
Kiskunfélegyháza,4
Karcag,4
Maklár,4
Mohács,4
Mátranovák,4
Innsbruck,4
Salgótarján,4
Halásztelek,4
Recsk,4
Páty,4
Grän,4
Warmbad,4
Bodajk,5
Szigetvár,5
Fejér,5
Pilisvörösvár,5
Gerlos,5
Marcali,5
Cegléd,5
Balatonfűzfő,5
Kaprun,5
JÁSZFÉNYSZARU,5
Seefeld,5
Velden,5
Dabas,6
Százhalombatta,6
Saalbach,6
Agora,6
Vienna,6
Békéscsaba,6
Albertirsa,6
Zürs,6
Graz,6
Mezőtúr,6
Alsónémedi,6
Paks,6
Budakeszi,6
Pápa,6
Kőszeg,6
Heves,6
Dorog,6
Csongrád,7
Jászberény,7
Kapuvár,7
Nagykőrös,7
